,id,Title,Writer,Readers,Total Comments,Genre,Grade,Days of Week,Total Episodes,Description
13,58407818,깊게 씹어 삼킨 탐욕,차신유,13.4만명,698,기다무소설로맨스,15세이용가,완결 | 독점,75,"""내 옆에서 한시도 떨어지지 마.""

필연적으로 엮인 그와의 세계가 전부인 줄 알고 살았다.
그와의 모든 것들이 당연했다.

그러던 어느 순간,
그가 공급하는 감정이 집착인지 사랑인지 헷갈리기 시작했다.

당연했던 삶을 비틀어 반항하고 싶어진다.

""우리는 무슨 사이인가요?""


#남주속까맣게태우는여주 #남주애간장녹이는여주 #여주때문에미치고팔짝뛰는남주
#맹수같은남주가여주발닦개되어가는과정 #동거 #오피스 #갑을관계
#후회남 #집착남 #재벌남 #발칙녀 #상처녀 #차분녀 #능력녀"
14,58393106,두 번째는 능숙하게,오묘희,15.7만명,"5,490",기다무소설로맨스,전체이용가,"화, 목, 토 연재 | 독점",93,"“세상에, 너 정말로 몰랐니? 8년씩이나?”

세아는 남편 지만과 친구 유리에게 8년을 속았다.
두 사람이 불륜 관계라는 것만 해도 속이 뒤집히는데.

“내가 그랬어, 전부. 애 낳고 내조 잘하는 여자면 되는데 일하는 여자는 곤란했거든.”

배우의 꿈을 포기하게 만든 저급한 스캔들마저 그들의 계략이었단다.

그렇게 이혼을 종용당하다가 맞은 비통한 죽음, 
그리고 우연한 회귀.

두 번째 삶은 달라야만 했다.

“너 갑자기 왜 그래? 절교라도 할 기세다?”
“못 할 것도 없지.”

세아는 오랜 친구였던 유리를 쳐내고.

“제가 비위가 약해서요. 구린내가 너무 나니 거절할게요.”

지만과의 결혼을 거부한다.

그리고 능숙하게 배우로서의 기회를 잡고 명성을 얻어 가는데…….

***

“너랑 더 가까워지고 싶어.”

세아는 저도 모르게 숨을 삼켰다. 코끝이 맞닿았다. 건하의 목소리는 낮게 갈라져 있었고 숨은 거칠었다.

“어떤 기분이고, 무슨 생각을 하고 있는지. 가능하다면 네 머릿속에 들어가고 싶을 만큼.”

그럴 수 없음에도 그는 더 가까워질 수 있다는 듯 다가왔다. 느릿하게 고개가 비틀어지고, 그대로 집어삼켜진다.

“그게 그렇게 궁금해.”

조금의 틈조차 허용하지 않겠다는 듯이.


[#회귀물 #배우물 #여주중심 #연기천재여주 #톱배우다정남주]


표지 일러스트 By 감귤(@MandarinG0)
타이틀 디자인 By 타마(@fhxh0430)"
15,51513025,구천구검,조진행,128.5만명,19.2만,기다무소설무협,전체이용가,"월, 화, 수, 목, 금 연재",987,"[독점연재]

""꽃으로도 때리지 마라. 그가 구천 하늘의 주인이다.""

서자로 태어나 큰엄마와 배다른 형제자매들에게 갖은 폭력과 괴롭힘을 당하며 살아온 여섯 살 연적하.
결국 부친마저 병으로 죽자 큰엄마는 연적하를 창고에 가두어 버리는데……

세상과 격리되어 창고에 갇힌 십 년.
인외(人外)의 무공을 얻어 세상으로 탈출하다!

""내가 연씨들에게 감정이 좀 많아.""

구천구검의 오롯한 전승자 연적하의 거침없는 강호행이 지금 시작된다!

표지 일러스트 : 반경"
16,58406059,정의로운 미친개의 며느리가 되었다,누오바,19.2만명,"2,347",기다무소설로판,전체이용가,매일 연재 | 독점,103,"시가인 로지문드 공작가에 착취당하다 재산을 모두 빼앗기고 죽은 이사벨라.
기적처럼 어린 시절로 돌아와 혼처를 고르게 된 순간,

“소녀, 오랫동안 흠모하던 바르무트 공작가의 일원이 되고 싶습니다.”

차라리 이름난 미친개의 며느리가 되리라 결심했다.

* * *

‘범죄를 처단하는 가문이니 나는 안전할 거야. 하지만 보호를 받기 위해서는,’

자비 없이 살벌한 시아버지부터 공략해야 해!
그런데…… 나 ‘며느리’ 아니었나?

“세상에! 작은 마님 덕에 놈들의 힘이 담긴 안개석이 다 파괴됐대요!”

시아버지를 도와 폭탄 설계도를 고치질 않나,

“이사벨라, 너도 이제 고트프리드 기사단원이다.”

이젠 흑마법사를 잡아들이는 기사단에 입단까지?

“내가 널 지켜줄게. 결혼은 그런 거잖아.”

아직 어린 약혼자는 수상할 만큼 대견하지만,
음험한 모략이 판치는 와중이라 내가 지켜줘야 할 판…….

모르겠다, 우선 닥친 일부터 해결하는 거야.
정의롭게 무찌르고 보자!"
17,58200398,0레벨 플레이어,송치현,27.3만명,"7,513",기다무소설판타지,전체이용가,매일 연재 | 독점,120,"1레벨 플레이어의 작가, 송치현!
이번에는 더 강력해진 0레벨 플레이어로 돌아왔다!

[레벨이 0으로 하락하였습니다.]
[스킬 랭크가 상승합니다.]
[군단이 강화되었습니다.]
[스텟이 누적되었습니다.]

“이제 다시 레벨업을 해볼까?”"
18,55806263,"의원, 다시 살다",태선,69만명,9.3만,기다무소설무협,전체이용가,매일 연재,522,"[독점연재]

고아였지만 지독한 노력 끝에 외과 의사가 된 진천희.
그런 그가 자신이 읽던 소설속 무림 세계로 빙의 했다!

""그래도 내가 의사여서 다행이다. 여기서 의원 노릇 하면서 살면 되겠네.""

그렇게 안도하던 그의 앞에 나타난 것은 빈사 상태가 된 소설 속 세계의 주인공인 천마 여하륜. 

""야, 살려준 은혜가 있으니 형이라 불러라.""

천마에게 형이라 불리며 강호제일신의가 되는 그의 일대기."
19,57352245,2레벨로 회귀한 무신,염비,47.2만명,2.5만,기다무소설판타지,전체이용가,"월, 화, 수, 목, 금 연재 | 독점",222,"『내 상태창 2개』, 『1000년 만에 귀환한 검신』 염비의 야심작!

『2레벨로 회귀한 무신』

[NO. 4212.’인류’, 강등전 패배.]
[인류의 삭제를 시작합니다.]

최종 미션을 실패하고 멸망해 버린 지구
최후의 생존자이자 무성(武聖)으로 불리던 성지한
죽음을 앞두고 '최초의 시기'로 회귀하게 되는데

-저 윤세진, 오늘 부로 일본인으로 살기로 했습니다!
-이제부터 이토 류헤이로 불러 주십시오.

눈을 뜨자마자 보인 건 대한민국의 검왕으로 불리던
제 매형의 매국 소식이었다

""……일단 저 새끼부터 조진다.""

복수는 철저하게, 계획은 빈틈없이
멸망의 미래를 구원하고 평화를 쟁취해 낼
대한민국의 무신, 성지한의 거침없는 행보를 주목하라!"
20,57948732,환생한 암살자는 검술 천재,글개미,41.5만명,1.8만,기다무소설판타지,전체이용가,"월, 화, 수, 목, 금 연재 | 독점",187,"평생을 목줄 맨 개로 살았다.

새롭게 얻은 삶.

목줄은 끊어졌고, 분노는 남았다. 

이젠 내 의지로 살고, 내 발로 걷겠다. 

앞을 막는다면 신이라고 할 지라도 베어버리리라."
21,53366985,얼어붙은 플레이어의 귀환,제리엠,109.5만명,11.3만,기다무소설판타지,전체이용가,"수, 목, 금, 토 연재",635,"세상이 바뀌고 5년.
최종보스가 나타났다.

[지구 에어리어 최후의 보스, 서리여왕이 출현합니다.]

최후의 보스!
그녀만 처치하면 예전처럼 살 수 있다!

인류 최고의 플레이어, 어둑서니 서준호를 포함한 다섯 명의 플레이어가 마침내 서리여왕을 쓰러뜨리지만...
그들은 기나긴 잠에 빠지는 혹독한 대가를 치뤄야했다.
그로부터 25년 후.

“2층이라니? 서리여왕을 죽이면 끝나는 거 아니었어?”

어둑서니가 잠에서 깨어났다."
22,54418049,1년차 만렙 매니저,현신,70.1만명,6.2만,기다무소설현판,전체이용가,매일 연재,794,"[독점연재]

연예계 미다스의 손, 정윤호.
1년 차 매니저로 회귀하다.

거칠 것 없는 '1년 차 만렙 매니저'의 삶은, 
이제부터 시작이다."
